,mitre name,mitre alias,malpedia name,malpedia alias,attack techniques,technique name,attack software,malpedia techniques,malpedia software,normalized mitre software,normalized malpedia software,software union,software overlap,mitre software ids,software union canonical
G0071,orangeworm,[],orangeworm,[],"['T1021.002', 'T1071.001']","['SMB/Windows Admin Shares', 'Web Protocols']","['S0099', 'S0236', 'S0039', 'S0096', 'S0106', 'S0100', 'S0104', 'S0103']","['T1021', 'T1071']",['win.kwampirs'],"['arp', 'cmd', 'ipconfig', 'kwampirs', 'net', 'netstat', 'route', 'systeminfo']",['S0236'],"['S0039', 'S0096', 'S0099', 'S0100', 'S0103', 'S0104', 'S0106', 'S0236']",['S0236'],"['S0039', 'S0096', 'S0099', 'S0100', 'S0103', 'S0104', 'S0106', 'S0236']","['arp', 'cmd', 'ipconfig', 'kwampirs', 'net', 'netstat', 'route', 'systeminfo']"
G0011,pittytiger,[],apt24,"['pitty panda', 'g0011', 'pittytiger']","['T1588.002', 'T1078']","['Tool', 'Valid Accounts']","['S0010', 'S0002', 'S0012', 'S0032', 'S0008']","['T1078', 'T1588']","['win.paladin', 'win.pgift']","['gh0st rat', 'gsecdump', 'lurid', 'mimikatz', 'poisonivy']","['paladin', 'pgift']","['S0002', 'S0008', 'S0010', 'S0012', 'S0032', 'paladin', 'pgift']",[],"['S0002', 'S0008', 'S0010', 'S0012', 'S0032']","['gh0st rat', 'gsecdump', 'lurid', 'mimikatz', 'paladin', 'pgift', 'poisonivy']"
G0048,rtm,[],rtm,['g0048'],"['T1574.001', 'T1102.001', 'T1189', 'T1204.002', 'T1547.001', 'T1219', 'T1566.001', 'T1115', 'T1083', 'T1116', 'T1071', 'T1140', 'T1158', 'T1004', 'T1022', 'T1041', 'T1105', 'T1102', 'T1020', 'T1056', 'T1043', 'T1111', 'T1106', 'T1204', 'T1135']","['DLL Search Order Hijacking', 'Dead Drop Resolver', 'Drive-by Compromise', 'Malicious File', 'Registry Run Keys / Startup Folder', 'Remote Access Software', 'Spearphishing Attachment']",['S0148'],"['T1102', 'T1189', 'T1204', 'T1219', 'T1547', 'T1566', 'T1574']",[],['rtm'],[],['S0148'],[],['S0148'],['rtm']
G0098,blacktech,['palmerworm'],blacktech,"['circuit panda', 'overboard', 'huapi', 'palmerworm', 'g0098', 't-apt-03', 'manga taurus', 'red djinn', 'earth hundun']","['T1588.003', 'T1574.002', 'T1588.004', 'T1190', 'T1203', 'T1204.002', 'T1204.001', 'T1106', 'T1046', 'T1036.002', 'T1021.004', 'T1566.001', 'T1566.002', 'T1588.002', 'T1009', 'T1140', 'T1055', 'T1041', 'T1480', 'T1179', 'T1089', 'T1073', 'T1129']","['Code Signing Certificates', 'DLL Side-Loading', 'Digital Certificates', 'Exploit Public-Facing Application', 'Exploitation for Client Execution', 'Malicious File', 'Malicious Link', 'Native API', 'Network Service Discovery', 'Right-to-Left Override', 'SSH', 'Spearphishing Attachment', 'Spearphishing Link', 'Tool']","['S0696', 'S0437', 'S0435', 'S0029', 'S0436', 'S0579']","['T1009', 'T1027', 'T1041', 'T1055', 'T1057', 'T1060', 'T1071', 'T1073', 'T1081', 'T1083', 'T1089', 'T1105', 'T1106', 'T1116', 'T1129', 'T1140', 'T1179', 'T1203', 'T1480']","['elf.bifrost', 'elf.hipid', 'elf.plead', 'elf.tscookie', 'win.bifrose', 'win.bluether', 'win.flagpro', 'win.icondown', 'win.plead', 'win.selfmake', 'win.spider_rat', 'win.waterbear']","['flagpro', 'kivars', 'plead', 'psexec', 'tscookie', 'waterbear']","['S0435', 'S0436', 'S0579', 'S0696', 'bifrose', 'bifrost', 'bluether', 'hipid', 'icondown', 'selfmake', 'spider rat']","['S0029', 'S0435', 'S0436', 'S0437', 'S0579', 'S0696', 'bifrose', 'bifrost', 'bluether', 'hipid', 'icondown', 'selfmake', 'spider rat']","['S0435', 'S0436', 'S0579', 'S0696']","['S0029', 'S0435', 'S0436', 'S0437', 'S0579', 'S0696']","['bifrose', 'bifrost', 'bluether', 'flagpro', 'hipid', 'icondown', 'kivars', 'plead', 'psexec', 'selfmake', 'spider rat', 'tscookie', 'waterbear']"
G0120,evilnum,[],evilnum,"['deathstalker', 'ta4563', 'evilnum', 'jointworm', 'knockout spider']","['T1548.002', 'T1555', 'T1574.001', 'T1070.004', 'T1105', 'T1059.007', 'T1204.001', 'T1219', 'T1566.002', 'T1539', 'T1497.001', 'T1012', 'T1071', 'T1022', 'T1005', 'T1041', 'T1086', 'T1143', 'T1088', 'T1032', 'T1104', 'T1082', 'T1059', 'T1497', 'T1113', 'T1060', 'T1117', 'T1074', 'T1061', 'T1003', 'T1102', 'T1191', 'T1056', 'T1132', 'T1218', 'T1048', 'T1047', 'T1129', 'T1116', 'T1064', 'T1140', 'T1036', 'T1063', 'T1043', 'T1179', 'T1107', 'T1192', 'T1038', 'T1114', 'T1204', 'T1112', 'T1090', 'T1027', 'T1518', 'T1108', 'T1220', 'T1008', 'T1503']","['Bypass User Account Control', 'Credentials from Password Stores', 'DLL Search Order Hijacking', 'File Deletion', 'Ingress Tool Transfer', 'JavaScript', 'Malicious Link', 'Remote Access Software', 'Spearphishing Link', 'Steal Web Session Cookie', 'System Checks']","['S0568', 'S0349', 'S0284']","['T1003', 'T1005', 'T1008', 'T1012', 'T1022', 'T1027', 'T1032', 'T1036', 'T1038', 'T1041', 'T1043', 'T1047', 'T1048', 'T1056', 'T1059', 'T1060', 'T1061', 'T1063', 'T1064', 'T1071', 'T1074', 'T1082', 'T1086', 'T1088', 'T1090', 'T1102', 'T1104', 'T1105', 'T1107', 'T1108', 'T1112', 'T1113', 'T1114', 'T1116', 'T1117', 'T1129', 'T1132', 'T1140', 'T1143', 'T1179', 'T1191', 'T1192', 'T1204', 'T1218', 'T1219', 'T1220', 'T1497', 'T1503', 'T1518', 'T1539']","['osx.janicab', 'ps1.powerpepper', 'vbs.janicab', 'win.stormwind']","['evilnum', 'lazagne', 'more eggs']","['janicab', 'powerpepper', 'stormwind', 'vbs.janicab']","['S0284', 'S0349', 'S0568', 'janicab', 'powerpepper', 'stormwind', 'vbs.janicab']",[],"['S0284', 'S0349', 'S0568']","['evilnum', 'janicab', 'lazagne', 'more eggs', 'powerpepper', 'stormwind', 'vbs.janicab']"
G1018,ta2541,[],ta2541,[],"['T1573.002', 'T1562.001', 'T1583.001', 'T1568', 'T1027.013', 'T1105', 'T1016.001', 'T1204.002', 'T1204.001', 'T1588.001', 'T1036.005', 'T1218.005', 'T1059.001', 'T1055.012', 'T1055', 'T1547.001', 'T1053.005', 'T1518.001', 'T1027.002', 'T1566.001', 'T1566.002', 'T1082', 'T1588.002', 'T1608.001', 'T1059.005', 'T1583.006', 'T1047']","['Asymmetric Cryptography', 'Disable or Modify Tools', 'Domains', 'Dynamic Resolution', 'Encrypted/Encoded File', 'Ingress Tool Transfer', 'Internet Connection Discovery', 'Malicious File', 'Malicious Link', 'Malware', 'Match Legitimate Name or Location', 'Mshta', 'PowerShell', 'Process Hollowing', 'Process Injection', 'Registry Run Keys / Startup Folder', 'Scheduled Task', 'Security Software Discovery', 'Software Packing', 'Spearphishing Attachment', 'Spearphishing Link', 'System Information Discovery', 'Tool', 'Upload Malware', 'Visual Basic', 'Web Services', 'Windows Management Instrumentation']","['S0331', 'S1087', 'S0434', 'S0198', 'S0379', 'S1086', 'S0670', 'S0283', 'S0385']",[],[],"['agent tesla', 'async rat', 'imminent monitor', 'j rat', 'netwire', 'nj rat', 'revenge rat', 'snip3', 'warzone rat']",[],"['S0198', 'S0283', 'S0331', 'S0379', 'S0385', 'S0434', 'S0670', 'S1086', 'S1087']",[],"['S0198', 'S0283', 'S0331', 'S0379', 'S0385', 'S0434', 'S0670', 'S1086', 'S1087']","['agent tesla', 'async rat', 'imminent monitor', 'j rat', 'netwire', 'nj rat', 'revenge rat', 'snip3', 'warzone rat']"
G0103,mofang,[],mofang,"['superman', 'bronze walker']","['T1027.013', 'T1204.002', 'T1204.001', 'T1566.001', 'T1566.002']","['Encrypted/Encoded File', 'Malicious File', 'Malicious Link', 'Spearphishing Attachment', 'Spearphishing Link']","['S0444', 'S0445']",[],['win.shimrat'],"['shim rat', 'shimratreporter']",['S0444'],"['S0444', 'S0445']",['S0444'],"['S0444', 'S0445']","['shim rat', 'shimratreporter']"
G0090,wirte,[],wirte,[],"['T1140', 'T1105', 'T1204.002', 'T1036.005', 'T1571', 'T1059.001', 'T1218.010', 'T1566.001', 'T1588.002', 'T1059.005', 'T1071.001']","['Deobfuscate/Decode Files or Information', 'Ingress Tool Transfer', 'Malicious File', 'Match Legitimate Name or Location', 'Non-Standard Port', 'PowerShell', 'Regsvr32', 'Spearphishing Attachment', 'Tool', 'Visual Basic', 'Web Protocols']","['S0363', 'S0679', 'S0680']",[],[],"['empire', 'ferocious', 'litepower']",[],"['S0363', 'S0679', 'S0680']",[],"['S0363', 'S0679', 'S0680']","['empire', 'ferocious', 'litepower']"
G0022,apt3,"['buckeye', 'gothic panda', 'pirpi', 'tg-0110', 'tg-0110', 'ups']",apt3,"['gothic panda', 'tg-0110', 'group 6', 'ups', 'buckeye', 'boyusec', 'boron', 'bronze mayfair', 'red sylvan']","['T1546.008', 'T1098', 'T1560.001', 'T1552.001', 'T1555.003', 'T1574.002', 'T1005', 'T1078.002', 'T1041', 'T1203', 'T1090.002', 'T1070.004', 'T1083', 'T1564.003', 'T1027.005', 'T1105', 'T1056.001', 'T1003.001', 'T1087.001', 'T1136.001', 'T1074.001', 'T1204.001', 'T1104', 'T1095', 'T1027', 'T1110.002', 'T1069', 'T1059.001', 'T1057', 'T1547.001', 'T1021.001', 'T1018', 'T1218.011', 'T1021.002', 'T1053.005', 'T1027.002', 'T1566.002', 'T1082', 'T1016', 'T1049', 'T1033', 'T1059.003', 'T1543.003', 'T1012', 'T1031', 'T1053', 'T1078', 'T1077', 'T1059', 'T1035', 'T1113', 'T1060', 'T1085', 'T1074', 'T1081', 'T1050', 'T1003', 'T1087', 'T1056', 'T1136', 'T1073', 'T1110', 'T1045', 'T1064', 'T1066', 'T1043', 'T1107', 'T1002', 'T1112', 'T1076', 'T1021', 'T1015', 'T1108', 'T1135']","['Accessibility Features', 'Account Manipulation', 'Archive via Utility', 'Credentials In Files', 'Credentials from Web Browsers', 'DLL Side-Loading', 'Data from Local System', 'Domain Accounts', 'Exfiltration Over C2 Channel', 'Exploitation for Client Execution', 'External Proxy', 'File Deletion', 'File and Directory Discovery', 'Hidden Window', 'Indicator Removal from Tools', 'Ingress Tool Transfer', 'Keylogging', 'LSASS Memory', 'Local Account', 'Local Data Staging', 'Malicious Link', 'Multi-Stage Channels', 'Non-Application Layer Protocol', 'Obfuscated Files or Information', 'Password Cracking', 'Permission Groups Discovery', 'PowerShell', 'Process Discovery', 'Registry Run Keys / Startup Folder', 'Remote Desktop Protocol', 'Remote System Discovery', 'Rundll32', 'SMB/Windows Admin Shares', 'Scheduled Task', 'Software Packing', 'Spearphishing Link', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'Windows Command Shell', 'Windows Service']","['S0349', 'S0165', 'S0013', 'S0166', 'S0063', 'S0111']","['T1003', 'T1005', 'T1016', 'T1018', 'T1021', 'T1027', 'T1033', 'T1041', 'T1049', 'T1053', 'T1056', 'T1057', 'T1059', 'T1069', 'T1070', 'T1074', 'T1078', 'T1082', 'T1083', 'T1087', 'T1090', 'T1095', 'T1098', 'T1104', 'T1105', 'T1110', 'T1136', 'T1203', 'T1204', 'T1218', 'T1543', 'T1546', 'T1547', 'T1552', 'T1555', 'T1560', 'T1564', 'T1566', 'T1574']","['win.doublepulsar', 'win.htran', 'win.keylogger_apt3', 'win.pirpi', 'win.plugx', 'win.shareip', 'win.w32times', 'win.xserver']","['lazagne', 'osinfo', 'plugx', 'remotecmd', 'schtasks', 'shotput']","['S0013', 'S0063', 'doublepulsar', 'htran', 'keylogger apt3', 'shareip', 'w32times', 'xserver']","['S0013', 'S0063', 'S0111', 'S0165', 'S0166', 'S0349', 'doublepulsar', 'htran', 'keylogger apt3', 'shareip', 'w32times', 'xserver']","['S0013', 'S0063']","['S0013', 'S0063', 'S0111', 'S0165', 'S0166', 'S0349']","['doublepulsar', 'htran', 'keylogger apt3', 'lazagne', 'osinfo', 'plugx', 'remotecmd', 'schtasks', 'shareip', 'shotput', 'w32times', 'xserver']"
G0049,oilrig,"['apt34', 'cobalt gypsy', 'europium', 'evasive serpens', 'hazel sandstorm', 'helix kitten', 'irn2']",chrysene,"['oilrig', 'greenbug', 'hazel sandstorm', 'europium', 'cobalt gypsy', 'apt34']","['T1573.002', 'T1119', 'T1110', 'T1003.005', 'T1059', 'T1218.001', 'T1552.001', 'T1555', 'T1555.003', 'T1071.004', 'T1140', 'T1087.002', 'T1069.002', 'T1027.013', 'T1048.003', 'T1133', 'T1008', 'T1070.004', 'T1027.005', 'T1105', 'T1056.001', 'T1003.004', 'T1003.001', 'T1087.001', 'T1069.001', 'T1204.002', 'T1204.001', 'T1036', 'T1046', 'T1137.004', 'T1201', 'T1120', 'T1059.001', 'T1057', 'T1572', 'T1012', 'T1021.001', 'T1021.004', 'T1053.005', 'T1113', 'T1566.001', 'T1566.002', 'T1566.003', 'T1497.001', 'T1082', 'T1016', 'T1049', 'T1033', 'T1007', 'T1078', 'T1059.005', 'T1071.001', 'T1505.003', 'T1059.003', 'T1555.004', 'T1047', 'T0817', 'T0853', 'T0865', 'T0869', 'T0859']","['Asymmetric Cryptography', 'Automated Collection', 'Brute Force', 'Cached Domain Credentials', 'Command and Scripting Interpreter', 'Compiled HTML File', 'Credentials In Files', 'Credentials from Password Stores', 'Credentials from Web Browsers', 'DNS', 'Deobfuscate/Decode Files or Information', 'Domain Account', 'Domain Groups', 'Encrypted/Encoded File', 'Exfiltration Over Unencrypted Non-C2 Protocol', 'External Remote Services', 'Fallback Channels', 'File Deletion', 'Indicator Removal from Tools', 'Ingress Tool Transfer', 'Keylogging', 'LSA Secrets', 'LSASS Memory', 'Local Account', 'Local Groups', 'Malicious File', 'Malicious Link', 'Masquerading', 'Network Service Discovery', 'Outlook Home Page', 'Password Policy Discovery', 'Peripheral Device Discovery', 'PowerShell', 'Process Discovery', 'Protocol Tunneling', 'Query Registry', 'Remote Desktop Protocol', 'SSH', 'Scheduled Task', 'Screen Capture', 'Spearphishing Attachment', 'Spearphishing Link', 'Spearphishing via Service', 'System Checks', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'System Service Discovery', 'Valid Accounts', 'Visual Basic', 'Web Protocols', 'Web Shell', 'Windows Command Shell', 'Windows Credential Manager', 'Windows Management Instrumentation', 'Drive-by Compromise', 'Scripting', 'Standard Application Layer Protocol']","['S0360', 'S0170', 'S0189', 'S0349', 'S0002', 'S0039', 'S0264', 'S0184', 'S0029', 'S0269', 'S0495', 'S0258', 'S0075', 'S0185', 'S0610', 'S0096', 'S0057', 'S0160', 'S0095', 'S0100', 'S0104']","['T0817', 'T0853', 'T0859', 'T0865', 'T0869', 'T1001', 'T1003', 'T1007', 'T1008', 'T1012', 'T1016', 'T1021', 'T1027', 'T1027.002', 'T1027.009', 'T1033', 'T1036', 'T1036.004', 'T1036.005', 'T1041', 'T1046', 'T1047', 'T1048', 'T1049', 'T1053', 'T1053.005', 'T1056', 'T1057', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1069', 'T1070', 'T1070.009', 'T1071', 'T1071.001', 'T1071.004', 'T1078', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1102.002', 'T1105', 'T1106', 'T1110', 'T1113', 'T1119', 'T1120', 'T1132.001', 'T1132.002', 'T1133', 'T1137', 'T1140', 'T1201', 'T1204', 'T1204.002', 'T1217', 'T1218', 'T1480', 'T1497', 'T1505', 'T1552', 'T1553', 'T1555', 'T1555.003', 'T1555.004', 'T1562', 'T1566', 'T1566.001', 'T1568.002', 'T1572', 'T1573', 'T1573.001', 'T1573.002', 'T1584.004', 'T1587.001', 'T1608.001', 'T1608.002']","['win.ismagent', 'win.ismdoor']","['bondupdater', 'certutil', 'ftp', 'helminth', 'ipconfig', 'isminjector', 'lazagne', 'mimikatz', 'net', 'netstat', 'oopsie', 'powruner', 'psexec', 'quadagent', 'rdat', 'reg', 'rgdoor', 'seasharpee', 'sidetwist', 'systeminfo', 'tasklist']","['ismagent', 'ismdoor']","['S0002', 'S0029', 'S0039', 'S0057', 'S0075', 'S0095', 'S0096', 'S0100', 'S0104', 'S0160', 'S0170', 'S0184', 'S0185', 'S0189', 'S0258', 'S0264', 'S0269', 'S0349', 'S0360', 'S0495', 'S0610', 'ismagent', 'ismdoor']",[],"['S0002', 'S0029', 'S0039', 'S0057', 'S0075', 'S0095', 'S0096', 'S0100', 'S0104', 'S0160', 'S0170', 'S0184', 'S0185', 'S0189', 'S0258', 'S0264', 'S0269', 'S0349', 'S0360', 'S0495', 'S0610']","['bondupdater', 'certutil', 'ftp', 'helminth', 'ipconfig', 'ismagent', 'ismdoor', 'isminjector', 'lazagne', 'mimikatz', 'net', 'netstat', 'oopsie', 'powruner', 'psexec', 'quadagent', 'rdat', 'reg', 'rgdoor', 'seasharpee', 'sidetwist', 'systeminfo', 'tasklist']"
G0009,deep panda,"['black vine', 'kungfu kittens', 'pinkpanther', 'shell crew', 'webmasters']",apt19,"['deep panda', 'codoso', 'webmasters', 'kungfu kittens', 'black vine', 'avengers', 'group 13', 'pinkpanther', 'shell crew', 'bronze firestone', 'g0009', 'g0073', 'pupa', 'sunshop']","['T1546.008', 'T1564.003', 'T1027.005', 'T1059.001', 'T1057', 'T1218.010', 'T1018', 'T1021.002', 'T1505.003', 'T1047']","['Accessibility Features', 'Hidden Window', 'Indicator Removal from Tools', 'PowerShell', 'Process Discovery', 'Regsvr32', 'Remote System Discovery', 'SMB/Windows Admin Shares', 'Web Shell', 'Windows Management Instrumentation']","['S0021', 'S0080', 'S0039', 'S0097', 'S0074', 'S0142', 'S0057']",[],[],"['derusbi', 'mivast', 'net', 'ping', 'sakula', 'streamex', 'tasklist']",[],"['S0021', 'S0039', 'S0057', 'S0074', 'S0080', 'S0097', 'S0142']",[],"['S0021', 'S0039', 'S0057', 'S0074', 'S0080', 'S0097', 'S0142']","['derusbi', 'mivast', 'net', 'ping', 'sakula', 'streamex', 'tasklist']"
G0137,ferocious kitten,[],ferocious kitten,[],"['T1583.001', 'T1204.002', 'T1036.005', 'T1036.002', 'T1566.001', 'T1588.002']","['Domains', 'Malicious File', 'Match Legitimate Name or Location', 'Right-to-Left Override', 'Spearphishing Attachment', 'Tool']","['S0190', 'S0652']",[],[],"['bitsadmin', 'marki rat']",[],"['S0190', 'S0652']",[],"['S0190', 'S0652']","['bitsadmin', 'marki rat']"
G0085,fin4,[],wolf spider,"['fin4', 'g0085']","['T1564.008', 'T1056.002', 'T1056.001', 'T1204.002', 'T1204.001', 'T1090.003', 'T1114.002', 'T1566.001', 'T1566.002', 'T1078', 'T1059.005', 'T1071.001']","['Email Hiding Rules', 'GUI Input Capture', 'Keylogging', 'Malicious File', 'Malicious Link', 'Multi-hop Proxy', 'Remote Email Collection', 'Spearphishing Attachment', 'Spearphishing Link', 'Valid Accounts', 'Visual Basic', 'Web Protocols']",[],"['T1056', 'T1059', 'T1071', 'T1078', 'T1090', 'T1114', 'T1204', 'T1564', 'T1566']",[],[],[],[],[],[],[]
G0024,putter panda,"['apt2', 'msupdater']",apt2,"['pla unit 61486', 'putter panda', 'msupdater', '4hcrew', 'sulphur', 'searchfire', 'tg-6952', 'g0024']","['T1562.001', 'T1055.001', 'T1027.013', 'T1547.001']","['Disable or Modify Tools', 'Dynamic-link Library Injection', 'Encrypted/Encoded File', 'Registry Run Keys / Startup Folder']","['S0066', 'S0065', 'S0068', 'S0067']","['T1027', 'T1055', 'T1547', 'T1562']","['win.4h_rat', 'win.pngdowner']","['3para rat', '4h rat', 'httpclient', 'pngdowner']","['S0065', 'S0067']","['S0065', 'S0066', 'S0067', 'S0068']","['S0065', 'S0067']","['S0065', 'S0066', 'S0067', 'S0068']","['3para rat', '4h rat', 'httpclient', 'pngdowner']"
G0027,tg-3390,"['apt27', 'bronze union', 'earth smilodon', 'emissary panda', 'iron tiger', 'luckymouse', 'tg-3390']",apt27,"['greedytaotie', 'tg-3390', 'emissary panda', 'hippo', 'red phoenix', 'budworm', 'group 35', 'ziptoken', 'iron tiger', 'bronze union', 'lucky mouse', 'g0027', 'iron taurus', 'earth smilodon']","['T1560.002', 'T1053.002', 'T1119', 'T1548.002', 'T1588.003', 'T1195.002', 'T1574.001', 'T1574.002', 'T1030', 'T1005', 'T1140', 'T1562.002', 'T1583.001', 'T1189', 'T1608.004', 'T1027.013', 'T1567.002', 'T1190', 'T1203', 'T1068', 'T1210', 'T1133', 'T1070.004', 'T1105', 'T1056.001', 'T1003.004', 'T1003.001', 'T1087.001', 'T1074.001', 'T1204.002', 'T1112', 'T1046', 'T1070.005', 'T1555.005', 'T1059.001', 'T1055.012', 'T1012', 'T1547.001', 'T1074.002', 'T1018', 'T1003.002', 'T1027.002', 'T1566.001', 'T1016', 'T1049', 'T1033', 'T1588.002', 'T1199', 'T1608.001', 'T1608.002', 'T1078', 'T1071.001', 'T1505.003', 'T1059.003', 'T1047', 'T1021.006', 'T1543.003', 'T1073']","['Archive via Library', 'At', 'Automated Collection', 'Bypass User Account Control', 'Code Signing Certificates', 'Compromise Software Supply Chain', 'DLL Search Order Hijacking', 'DLL Side-Loading', 'Data Transfer Size Limits', 'Data from Local System', 'Deobfuscate/Decode Files or Information', 'Disable Windows Event Logging', 'Domains', 'Drive-by Compromise', 'Drive-by Target', 'Encrypted/Encoded File', 'Exfiltration to Cloud Storage', 'Exploit Public-Facing Application', 'Exploitation for Client Execution', 'Exploitation for Privilege Escalation', 'Exploitation of Remote Services', 'External Remote Services', 'File Deletion', 'Ingress Tool Transfer', 'Keylogging', 'LSA Secrets', 'LSASS Memory', 'Local Account', 'Local Data Staging', 'Malicious File', 'Modify Registry', 'Network Service Discovery', 'Network Share Connection Removal', 'Password Managers', 'PowerShell', 'Process Hollowing', 'Query Registry', 'Registry Run Keys / Startup Folder', 'Remote Data Staging', 'Remote System Discovery', 'Security Account Manager', 'Software Packing', 'Spearphishing Attachment', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'Tool', 'Trusted Relationship', 'Upload Malware', 'Upload Tool', 'Valid Accounts', 'Web Protocols', 'Web Shell', 'Windows Command Shell', 'Windows Management Instrumentation', 'Windows Remote Management', 'Windows Service']","['S0073', 'S0020', 'S0660', 'S0154', 'S0070', 'S0398', 'S0357', 'S0002', 'S0590', 'S0039', 'S0664', 'S0013', 'S0662', 'S0663', 'S0096', 'S0057', 'S0005', 'S0412', 'S0160', 'S0032', 'S0008', 'S0100', 'S0104', 'S0006']","['T1003.001', 'T1003.003', 'T1005', 'T1007', 'T1010', 'T1012', 'T1016', 'T1018', 'T1021.001', 'T1021.006', 'T1027', 'T1033', 'T1036.004', 'T1036.005', 'T1038', 'T1047', 'T1055', 'T1055.003', 'T1055.012', 'T1056.001', 'T1057', 'T1059.001', 'T1059.003', 'T1070.004', 'T1070.006', 'T1071.001', 'T1073', 'T1074.001', 'T1074.002', 'T1078', 'T1078.002', 'T1082', 'T1083', 'T1087', 'T1087.001', 'T1087.002', 'T1087.003', 'T1090', 'T1090.001', 'T1095', 'T1098', 'T1105', 'T1112', 'T1113', 'T1114.001', 'T1115', 'T1133', 'T1134', 'T1135', 'T1140', 'T1146', 'T1190', 'T1199', 'T1202', 'T1213', 'T1482', 'T1489', 'T1497', 'T1497.001', 'T1505.003', 'T1518', 'T1543.003', 'T1547.001', 'T1548.002', 'T1553.002', 'T1559.002', 'T1560', 'T1560.001', 'T1562.001', 'T1564.003', 'T1569.002', 'T1570', 'T1573.002', 'T1574.002', 'T1583.003', 'T1588.003', 'T1608.003']","['win.chinachopper', 'win.ghost_rat', 'win.httpbrowser', 'win.hyperbro', 'win.hyperssl', 'win.plugx', 'win.polpo', 'win.unidentified_080', 'win.zxshell']","['aspxspy', 'certutil', 'china chopper', 'clambling', 'cobalt strike', 'gh0st rat', 'gsecdump', 'httpbrowser', 'hyperbro', 'impacket', 'ipconfig', 'mimikatz', 'nbtscan', 'net', 'netstat', 'pandora', 'plugx', 'pwdump', 'rcsession', 'systeminfo', 'sysupdate', 'tasklist', 'windows credential editor', 'zxshell']","['S0013', 'S0070', 'S0398', 'S0412', 'S0663', 'chinachopper', 'ghost rat', 'polpo', 'unidentified']","['S0002', 'S0005', 'S0006', 'S0008', 'S0013', 'S0020', 'S0032', 'S0039', 'S0057', 'S0070', 'S0073', 'S0096', 'S0100', 'S0104', 'S0154', 'S0160', 'S0357', 'S0398', 'S0412', 'S0590', 'S0660', 'S0662', 'S0663', 'S0664', 'chinachopper', 'ghost rat', 'polpo', 'unidentified']","['S0013', 'S0070', 'S0398', 'S0412', 'S0663']","['S0002', 'S0005', 'S0006', 'S0008', 'S0013', 'S0020', 'S0032', 'S0039', 'S0057', 'S0070', 'S0073', 'S0096', 'S0100', 'S0104', 'S0154', 'S0160', 'S0357', 'S0398', 'S0412', 'S0590', 'S0660', 'S0662', 'S0663', 'S0664']","['aspxspy', 'certutil', 'china chopper', 'chinachopper', 'clambling', 'cobalt strike', 'gh0st rat', 'ghost rat', 'gsecdump', 'httpbrowser', 'hyperbro', 'impacket', 'ipconfig', 'mimikatz', 'nbtscan', 'net', 'netstat', 'pandora', 'plugx', 'polpo', 'pwdump', 'rcsession', 'systeminfo', 'sysupdate', 'tasklist', 'unidentified', 'windows credential editor', 'zxshell']"
